z,p,limit,cascades,verlauf
1,0.14999999999999997,8,945,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 830, 854, 873, 885, 892, 896, 901, 910, 915, 919, 923, 927, 932, 934, 936, 939, 942, 944, 945, 945]"
1,0.14999999999999997,9,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.15999999999999998,1,354,"[30, 52, 75, 99, 115, 130, 146, 160, 175, 195, 215, 232, 249, 264, 278, 290, 298, 306, 313, 320, 327, 333, 337, 340, 343, 346, 350, 354, 354]"
1,0.15999999999999998,2,371,"[30, 57, 82, 111, 136, 159, 180, 198, 214, 237, 258, 277, 297, 310, 325, 340, 347, 354, 358, 360, 362, 364, 367, 370, 371, 371]"
1,0.15999999999999998,3,941,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 321, 337, 350, 361, 371, 381, 396, 411, 429, 447, 469, 493, 519, 544, 572, 606, 635, 664, 706, 754, 799, 826, 850, 869, 881, 888, 892, 897, 906, 911, 915, 919, 923, 928, 930, 932, 935, 938, 940, 941, 941]"
1,0.15999999999999998,4,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.15999999999999998,5,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.15999999999999998,6,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.15999999999999998,7,945,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 830, 854, 873, 885, 892, 896, 901, 910, 915, 919, 923, 927, 932, 934, 936, 939, 942, 944, 945, 945]"
1,0.15999999999999998,8,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.15999999999999998,9,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.16999999999999998,1,254,"[30, 56, 77, 98, 115, 127, 138, 145, 149, 157, 165, 172, 178, 185, 192, 197, 202, 206, 213, 220, 226, 232, 236, 241, 245, 248, 252, 254, 254]"
1,0.16999999999999998,2,858,"[30, 60, 87, 116, 141, 155, 169, 184, 200, 215, 226, 235, 239, 245, 253, 263, 276, 292, 304, 314, 329, 340, 349, 358, 367, 381, 395, 413, 431, 452, 475, 499, 523, 548, 574, 594, 617, 650, 684, 713, 730, 744, 758, 768, 774, 778, 783, 791, 799, 808, 817, 826, 837, 842, 847, 851, 855, 857, 858, 858]"
1,0.16999999999999998,3,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.16999999999999998,4,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.16999999999999998,5,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.16999999999999998,6,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.16999999999999998,7,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.16999999999999998,8,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.16999999999999998,9,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.17999999999999997,1,224,"[30, 59, 83, 107, 125, 135, 143, 151, 159, 166, 171, 175, 176, 178, 182, 186, 193, 200, 205, 210, 218, 223, 224, 224]"
1,0.17999999999999997,2,1247,"[30, 55, 84, 104, 123, 147, 170, 185, 199, 215, 229, 250, 267, 285, 303, 322, 342, 366, 391, 411, 434, 456, 475, 489, 498, 508, 518, 528, 541, 553, 563, 580, 600, 619, 640, 663, 682, 703, 722, 747, 773, 800, 834, 880, 916, 952, 985, 1010, 1035, 1056, 1080, 1109, 1132, 1151, 1169, 1185, 1193, 1203, 1215, 1223, 1227, 1232, 1237, 1240, 1242, 1245, 1247, 1247]"
1,0.17999999999999997,3,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.17999999999999997,4,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.17999999999999997,5,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.17999999999999997,6,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.17999999999999997,7,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.17999999999999997,8,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
