z,p,cascades,verlauf
9,0.14999999999999997,111,"[30, 54, 68, 74, 78, 84, 90, 93, 96, 100, 104, 109, 110, 111, 111]"
9,0.15999999999999998,119,"[30, 70, 94, 107, 112, 116, 119, 119]"
9,0.16999999999999998,45,"[30, 41, 45, 45]"
9,0.17999999999999997,52,"[30, 46, 50, 51, 52, 52]"
9,0.18999999999999995,46,"[30, 45, 46, 46]"
9,0.19999999999999996,51,"[30, 48, 50, 51, 51]"
9,0.20999999999999996,40,"[30, 39, 40, 40]"
9,0.21999999999999995,40,"[30, 38, 40, 40]"
9,0.22999999999999995,37,"[30, 37, 37]"
9,0.23999999999999994,36,"[30, 36, 36]"
9,0.24999999999999992,38,"[30, 38, 38]"
10,0.1,10000,"[30, 147, 513, 2681, 9155, 9999, 10000, 10000]"
10,0.11,10000,"[30, 110, 359, 1616, 7503, 9999, 10000, 10000]"
10,0.12,9998,"[30, 115, 293, 933, 4858, 9896, 9998, 9998]"
10,0.13,10000,"[30, 70, 116, 166, 264, 510, 1845, 7937, 9995, 10000, 10000]"
10,0.13999999999999999,10000,"[30, 82, 131, 184, 245, 365, 793, 3602, 9625, 10000, 10000]"
10,0.14999999999999997,52,"[30, 49, 51, 52, 52]"
10,0.15999999999999998,74,"[30, 53, 62, 68, 72, 74, 74]"
10,0.16999999999999998,41,"[30, 40, 41, 41]"
10,0.17999999999999997,46,"[30, 43, 46, 46]"
10,0.18999999999999995,38,"[30, 38, 38]"
10,0.19999999999999996,41,"[30, 39, 40, 41, 41]"
10,0.20999999999999996,38,"[30, 37, 38, 38]"
10,0.21999999999999995,34,"[30, 33, 34, 34]"
10,0.22999999999999995,36,"[30, 36, 36]"
10,0.23999999999999994,31,"[30, 31, 31]"
10,0.24999999999999992,36,"[30, 36, 36]"
11,0.1,10000,"[30, 125, 368, 1743, 8107, 10000, 10000]"
11,0.11,10000,"[30, 96, 249, 893, 5257, 9959, 10000, 10000]"
11,0.12,10000,"[30, 100, 216, 490, 2272, 8926, 10000, 10000]"
11,0.13,83,"[30, 56, 69, 74, 77, 80, 83, 83]"
11,0.13999999999999999,10000,"[30, 66, 89, 101, 112, 128, 151, 173, 209, 261, 352, 605, 2320, 8935, 10000, 10000]"
11,0.14999999999999997,43,"[30, 43, 43]"
11,0.15999999999999998,40,"[30, 39, 40, 40]"
11,0.16999999999999998,40,"[30, 39, 40, 40]"
11,0.17999999999999997,38,"[30, 38, 38]"
11,0.18999999999999995,36,"[30, 36, 36]"
11,0.19999999999999996,34,"[30, 34, 34]"
11,0.20999999999999996,34,"[30, 34, 34]"
11,0.21999999999999995,32,"[30, 32, 32]"
11,0.22999999999999995,32,"[30, 32, 32]"
11,0.23999999999999994,30,"[30, 30]"
11,0.24999999999999992,33,"[30, 33, 33]"
12,0.1,10000,"[30, 91, 197, 581, 3656, 9870, 10000, 10000]"
12,0.11,10000,"[30, 79, 156, 368, 1818, 8570, 10000, 10000]"
12,0.12,10000,"[30, 70, 104, 147, 227, 473, 2353, 9259, 10000, 10000]"
12,0.13,47,"[30, 44, 47, 47]"
12,0.13999999999999999,58,"[30, 50, 57, 58, 58]"
12,0.14999999999999997,35,"[30, 35, 35]"
12,0.15999999999999998,36,"[30, 35, 36, 36]"
12,0.16999999999999998,38,"[30, 38, 38]"
12,0.17999999999999997,36,"[30, 36, 36]"
12,0.18999999999999995,33,"[30, 33, 33]"
12,0.19999999999999996,33,"[30, 33, 33]"
12,0.20999999999999996,32,"[30, 32, 32]"
12,0.21999999999999995,30,"[30, 30]"
12,0.22999999999999995,31,"[30, 31, 31]"
12,0.23999999999999994,30,"[30, 30]"
12,0.24999999999999992,31,"[30, 31, 31]"
13,0.1,10000,"[30, 82, 150, 300, 1288, 7641, 10000, 10000]"
13,0.11,10000,"[30, 65, 101, 156, 326, 1485, 8133, 10000, 10000]"
13,0.12,10000,"[30, 58, 73, 87, 101, 110, 114, 117, 121, 122, 123, 125, 140, 165, 209, 376, 1600, 8315, 9999, 10000, 10000]"
13,0.13,43,"[30, 41, 43, 43]"
13,0.13999999999999999,50,"[30, 47, 50, 50]"
13,0.14999999999999997,33,"[30, 33, 33]"
13,0.15999999999999998,33,"[30, 33, 33]"
13,0.16999999999999998,37,"[30, 37, 37]"
13,0.17999999999999997,32,"[30, 32, 32]"
13,0.18999999999999995,33,"[30, 33, 33]"
13,0.19999999999999996,31,"[30, 31, 31]"
13,0.20999999999999996,32,"[30, 32, 32]"
13,0.21999999999999995,30,"[30, 30]"
13,0.22999999999999995,31,"[30, 31, 31]"
13,0.23999999999999994,30,"[30, 30]"
13,0.24999999999999992,31,"[30, 31, 31]"
14,0.1,10000,"[30, 65, 92, 132, 208, 578, 4394, 9969, 10000, 10000]"
14,0.11,10000,"[30, 55, 71, 88, 99, 122, 151, 215, 490, 3352, 9892, 10000, 10000]"
14,0.12,70,"[30, 53, 63, 68, 70, 70]"
14,0.13,45,"[30, 42, 44, 45, 45]"
14,0.13999999999999999,41,"[30, 39, 41, 41]"
14,0.14999999999999997,33,"[30, 33, 33]"
14,0.15999999999999998,32,"[30, 32, 32]"
14,0.16999999999999998,35,"[30, 35, 35]"
14,0.17999999999999997,31,"[30, 31, 31]"
14,0.18999999999999995,32,"[30, 32, 32]"
14,0.19999999999999996,30,"[30, 30]"
14,0.20999999999999996,30,"[30, 30]"
14,0.21999999999999995,30,"[30, 30]"
14,0.22999999999999995,30,"[30, 30]"
14,0.23999999999999994,30,"[30, 30]"
14,0.24999999999999992,30,"[30, 30]"
